Unnamed: 0,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,DISTRICT
257858,JA489829,10/28/2017 07:05:00 PM,054XX W CHICAGO AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,Y,N,1524,37.0,26,1139554.0,1904798.0,41.894873277,-87.762908357,"(41.894873277, -87.762908357)",15.0
175417,JA156000,02/15/2017 07:00:00 PM,014XX N CICERO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,2533,37.0,14,1144114.0,1909214.0,41.90690686,-87.746049479,"(41.90690686, -87.746049479)",25.0
174515,JA154806,02/15/2017 02:10:00 PM,024XX S CHRISTIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1024,22.0,14,1154419.0,1887567.0,41.847305402,-87.708773303,"(41.847305402, -87.708773303)",10.0
243499,JA427563,09/11/2017 07:30:00 PM,030XX W WARREN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,1222,2.0,08B,1156166.0,1900199.0,41.88193391,-87.702020861,"(41.88193391, -87.702020861)",12.0
240729,JA478014,10/19/2017 07:30:00 PM,002XX W WASHINGTON ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,122,42.0,06,1174561.0,1900806.0,41.883208368,-87.634456935,"(41.883208368, -87.634456935)",1.0
222540,HZ548350,12/11/2016 04:51:00 PM,115XX S AVENUE O,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,433,10.0,24,1200912.0,1828893.0,41.685246048,-87.540132958,"(41.685246048, -87.540132958)",4.0
125381,JA395339,08/17/2017 06:00:00 PM,039XX W 79TH ST,0560,ASSAULT,SIMPLE,OTHER,N,N,833,18.0,08A,1151378.0,1851935.0,41.749586081,-87.720865604,"(41.749586081, -87.720865604)",8.0
4241,HZ568021,12/23/2016 04:30:00 PM,010XX W GRACE ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1923,44.0,06,1168460.0,1925497.0,41.951096013,-87.656144094,"(41.951096013, -87.656144094)",19.0
94738,JA352941,07/18/2017 11:30:00 AM,078XX S KOLMAR AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,834,13.0,08B,1147430.0,1852129.0,41.750194659,-87.735327983,"(41.750194659, -87.735327983)",8.0
120903,JA459460,10/04/2017 11:00:00 PM,030XX N ELBRIDGE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,N,N,1412,35.0,06,1152372.0,1920098.0,41.936614339,-87.715426074,"(41.936614339, -87.715426074)",14.0
117624,JA385515,08/10/2017 12:30:00 PM,010XX N RUSH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1824,42.0,06,1176249.0,1907634.0,41.901906863,-87.628052474,"(41.901906863, -87.628052474)",18.0
1754,JA326846,05/07/2017 08:17:00 PM,127XX S GREEN ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,523,34.0,26,,,,,,
975,HZ562212,12/22/2016 02:30:00 PM,0000X S MICHIGAN AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,N,N,112,42.0,06,1177316.0,1900297.0,41.881749633,-87.624355971,"(41.881749633, -87.624355971)",1.0
85865,JA353323,04/01/2017 12:01:00 AM,102XX S ABERDEEN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,2232,34.0,11,,,,,,
22853,JA205549,03/29/2017 10:13:00 PM,024XX S STEWART AVE,2022,NARCOTICS,POSS: COCAINE,STREET,Y,N,914,25.0,18,1174073.0,1888123.0,41.848416229,-87.63662685,"(41.848416229, -87.63662685)",9.0
261026,JA249958,05/04/2017 02:59:00 AM,043XX W CERMAK RD,031A,ROBBERY,ARMED: HANDGUN,OTHER,Y,N,1012,24.0,03,1147874.0,1889021.0,41.851423473,-87.732756365,"(41.851423473, -87.732756365)",10.0
60347,JA257964,05/01/2017 05:00:00 PM,048XX W MONROE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,N,N,1533,28.0,07,1144251.0,1899226.0,41.879496065,-87.745797456,"(41.879496065, -87.745797456)",15.0
124710,JA394603,08/17/2017 12:01:00 AM,110XX S EMERALD AVE,0820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,N,N,2233,34.0,06,1173279.0,1831694.0,41.69358609,-87.64120746,"(41.69358609, -87.64120746)",22.0
224134,HZ548495,12/12/2016 01:00:00 AM,068XX S PRAIRIE AVE,0460,BATTERY,SIMPLE,APARTMENT,N,N,322,20.0,08B,1179220.0,1859728.0,41.770381781,-87.618603908,"(41.770381781, -87.618603908)",3.0
82520,JA341263,07/09/2017 06:35:00 PM,026XX E 79TH ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,Y,N,421,7.0,26,1195477.0,1853107.0,41.751827103,-87.559231739,"(41.751827103, -87.559231739)",4.0
216210,HZ541766,12/05/2016 09:30:00 AM,037XX N HALSTED ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1923,46.0,06,1170244.0,1925277.0,41.950453457,-87.649592688,"(41.950453457, -87.649592688)",19.0
36778,JA223825,04/13/2017 11:00:00 AM,029XX E 91ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,423,10.0,14,1197459.0,1845193.0,41.730061314,-87.552232014,"(41.730061314, -87.552232014)",4.0
122551,JA391740,08/15/2017 01:00:00 AM,062XX W 63RD ST,0810,THEFT,OVER $500,RESIDENCE,N,N,812,23.0,06,1135688.0,1862087.0,41.777737221,-87.778121304,"(41.777737221, -87.778121304)",8.0
67253,JA268122,05/01/2017 12:00:00 PM,042XX W VAN BUREN ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1132,24.0,06,1148163.0,1897685.0,41.875192996,-87.731472729,"(41.875192996, -87.731472729)",11.0
111790,JA299215,06/08/2017 03:35:00 PM,035XX S WASHTENAW AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",Y,N,911,12.0,08B,1158944.0,1880896.0,41.828907913,-87.692349187,"(41.828907913, -87.692349187)",9.0
192648,JA300797,06/10/2017 01:20:00 PM,006XX N MICHIGAN AVE,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,1834,42.0,08A,1177327.0,1904307.0,41.892753031,-87.624193896,"(41.892753031, -87.624193896)",18.0
197287,JA170816,03/01/2017 06:40:00 AM,008XX N RICHMOND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1211,26.0,08B,1156565.0,1905682.0,41.896971712,-87.700407226,"(41.896971712, -87.700407226)",12.0
90362,JA352457,07/17/2017 10:47:00 PM,025XX N NARRAGANSETT AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,Y,N,2512,36.0,06,1133317.0,1916205.0,41.926287021,-87.785547998,"(41.926287021, -87.785547998)",25.0
88639,JA349180,07/15/2017 03:20:00 PM,001XX S HALSTED ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1232,27.0,06,1171070.0,1899624.0,41.880042178,-87.647310685,"(41.880042178, -87.647310685)",12.0
256364,JA488238,10/27/2017 03:05:00 PM,053XX N SHERIDAN RD,0460,BATTERY,SIMPLE,OTHER,N,N,2023,48.0,08B,1168674.0,1935730.0,41.979171054,-87.655059668,"(41.979171054, -87.655059668)",20.0
242853,JA425403,09/10/2017 12:08:00 AM,002XX E HURON ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING/GROUNDS,N,N,1834,42.0,02,1178066.0,1905133.0,41.895002822,-87.621454706,"(41.895002822, -87.621454706)",18.0
1142,HZ562153,12/23/2016 03:00:00 AM,022XX W DIVISION ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,N,N,1212,32.0,08B,1161104.0,1907941.0,41.903077492,-87.683673325,"(41.903077492, -87.683673325)",12.0
