ORG_LEVEL,CITY,AREA,SECTOR,START_DATE,END_DATE,DISTRICT,SAFETY,S_RACE_AFRICAN_AMERICAN,S_RACE_ASIAN_AMERICAN,S_RACE_HISPANIC,S_RACE_WHITE,S_RACE_OTHER,S_AGE_LOW,S_AGE_MEDIUM,S_AGE_HIGH,S_SEX_FEMALE,S_SEX_MALE,S_EDUCATION_LOW,S_EDUCATION_MEDIUM,S_EDUCATION_HIGH,S_INCOME_LOW,S_INCOME_MEDIUM,S_INCOME_HIGH,TRUST,T_RACE_AFRICAN_AMERICAN,T_RACE_ASIAN_AMERICAN,T_RACE_HISPANIC,T_RACE_WHITE,T_RACE_OTHER,T_AGE_LOW,T_AGE_MEDIUM,T_AGE_HIGH,T_SEX_FEMALE,T_SEX_MALE,T_EDUCATION_LOW,T_EDUCATION_MEDIUM,T_EDUCATION_HIGH,T_INCOME_LOW,T_INCOME_MEDIUM,T_INCOME_HIGH,T_LISTEN,T_LISTEN_RACE_AFRICAN_AMERICAN,T_LISTEN_RACE_ASIAN_AMERICAN,T_LISTEN_RACE_HISPANIC,T_LISTEN_RACE_WHITE,T_LISTEN_RACE_OTHER,T_LISTEN_AGE_LOW,T_LISTEN_AGE_MEDIUM,T_LISTEN_AGE_HIGH,T_LISTEN_SEX_FEMALE,T_LISTEN_SEX_MALE,T_LISTEN_EDUCATION_LOW,T_LISTEN_EDUCATION_MEDIUM,T_LISTEN_EDUCATION_HIGH,T_LISTEN_INCOME_LOW,T_LISTEN_INCOME_MEDIUM,T_LISTEN_INCOME_HIGH,T_RESPECT,T_RESPECT_RACE_AFRICAN_AMERICAN,T_RESPECT_RACE_ASIAN_AMERICAN,T_RESPECT_RACE_HISPANIC,T_RESPECT_RACE_WHITE,T_RESPECT_RACE_OTHER,T_RESPECT_AGE_LOW,T_RESPECT_AGE_MEDIUM,T_RESPECT_AGE_HIGH,T_RESPECT_SEX_FEMALE,T_RESPECT_SEX_MALE,T_RESPECT_EDUCATION_LOW,T_RESPECT_EDUCATION_MEDIUM,T_RESPECT_EDUCATION_HIGH,T_RESPECT_INCOME_LOW,T_RESPECT_INCOME_MEDIUM,T_RESPECT_INCOME_HIGH
Other,chicago,area_3,120.0,11-01-2019,04/30/2021,1.0,63.13702380952381,59.06386904761904,58.31166666666667,61.66494047619047,65.41749999999999,59.10017857142857,63.80166666666667,60.614761904761906,64.74416666666667,63.94660714285715,62.22976190476191,55.1028947368421,63.13947368421053,64.80440789473684,60.79789473684211,63.0275,64.10907894736842,70.33875,66.82464285714285,71.20130952380953,67.95119047619048,72.26767857142856,59.494345238095235,66.1432738095238,71.66309523809524,72.38172619047619,71.55107142857143,69.93517857142858,68.9361842105263,71.2357894736842,72.13322368421052,65.16921052631578,71.71236842105263,72.56671052631579,69.9490909090909,74.06318181818182,69.54272727272728,72.53045454545455,69.36272727272727,65.86295454545454,63.43068181818182,70.87795454545454,72.38886363636364,71.56159090909091,70.37613636363636,78.50636363636364,69.1209090909091,70.97568181818181,64.92613636363636,71.88613636363635,69.7975,74.66,78.32613636363637,74.81545454545454,76.68431818181818,74.4975,71.32727272727273,65.90659090909091,76.4140909090909,77.73295454545455,76.55522727272727,74.74909090909091,80.85863636363636,75.29704545454545,74.57295454545455,70.56931818181819,77.07863636363636,74.37886363636363
Other,chicago,area_1,210.0,05-01-2018,04/30/2021,2.0,58.72339285714286,58.4975,55.52809523809523,55.94434523809524,62.672738095238095,54.406309523809526,59.5452380952381,54.734940476190474,60.81833333333333,58.56702380952381,59.46678571428571,53.33322368421052,57.95953947368421,61.497039473684204,57.25625,57.958092105263155,63.04953947368421,56.42166666666667,55.58464285714285,60.02065476190476,59.508869047619044,61.90755952380952,52.924523809523805,51.23761904761905,55.00761904761905,60.91660714285714,57.17839285714285,57.005892857142854,56.377105263157894,55.22269736842105,60.431447368421054,54.763092105263155,54.290723684210526,64.51032894736842,53.896590909090904,53.14522727272727,57.33818181818182,60.14409090909091,61.23068181818182,60.13136363636364,46.52318181818182,49.969545454545454,60.47727272727273,55.61659090909091,55.315681818181815,53.27431818181819,51.76204545454546,62.04136363636364,49.21204545454545,49.42818181818182,68.65840909090909,59.775,59.17386363636364,62.52863636363636,69.40886363636363,64.81977272727273,62.58136363636363,52.84886363636363,56.51477272727273,65.10522727272728,61.5175,60.738409090909094,61.53545454545454,57.67,64.64477272727272,56.4375,54.90590909090909,72.0065909090909
Other,chicago,area_1,320.0,02-01-2020,04/30/2021,3.0,51.72755952380952,50.21315476190476,54.99357142857143,54.05761904761905,61.45494047619048,54.54839285714285,54.04934523809524,48.871964285714284,54.51184523809523,51.26940476190477,53.70172619047619,50.60309210526316,50.28453947368421,56.551315789473676,50.04098684210527,51.525065789473686,56.260065789473686,49.20166666666666,47.04113095238095,60.587083333333325,59.22184523809524,63.48970238095238,52.60410714285714,49.700833333333335,46.110238095238095,52.458333333333336,48.51559523809524,50.35767857142857,51.644868421052635,47.796052631578945,51.69151315789473,48.36072368421053,47.3541447368421,61.904407894736835,45.105,42.93545454545455,60.442499999999995,59.529090909090904,64.2740909090909,57.76318181818181,49.14795454545455,37.215,49.696363636363635,43.49181818181818,46.01795454545454,47.825,44.570454545454545,47.975,44.73136363636364,41.87772727272727,57.62045454545455,49.32068181818182,46.65295454545455,63.84659090909091,63.98454545454546,68.38,63.821363636363635,57.51204545454546,42.09340909090909,54.11931818181818,48.68204545454546,50.31931818181818,48.68454545454545,48.616136363636365,55.97340909090909,46.52704545454546,46.689090909090915,65.98113636363637
Other,chicago,area_2,430.0,11-01-2017,04/30/2021,4.0,53.583333333333336,53.547440476190474,56.44083333333333,52.37511904761905,59.405654761904756,50.89511904761904,49.88982142857143,54.05267857142857,55.349404761904765,53.14875,54.662499999999994,50.23157894736842,53.73453947368421,57.28888157894737,52.2203947368421,54.300789473684205,58.64401315789473,54.733154761904764,50.60779761904762,65.905,58.295773809523816,65.76160714285714,52.88785714285714,49.52755952380952,53.55214285714286,58.42982142857142,54.2327380952381,56.09357142857142,55.3391447368421,54.88763157894737,57.09361842105263,52.95585526315789,54.757697368421056,63.558157894736844,53.597727272727276,47.117045454545455,66.58886363636363,58.179545454545455,70.15954545454545,63.59795454545454,50.42045454545455,48.92272727272727,59.08636363636364,53.97522727272727,55.563181818181825,51.635,55.38977272727273,62.02181818181818,51.26363636363636,53.86318181818182,67.2675,57.39704545454545,50.725,69.6684090909091,62.742954545454545,73.25795454545454,66.95272727272727,55.66931818181818,51.865227272727275,62.90840909090909,57.36727272727273,59.375454545454545,55.53659090909091,58.662045454545456,65.37590909090909,54.27977272727273,57.78659090909091,71.95818181818181
Other,chicago,area_2,520.0,10-01-2020,04/30/2021,5.0,52.829166666666666,52.20815476190476,56.56857142857143,53.0302380952381,63.07559523809524,54.603452380952376,50.64928571428571,51.86011904761905,55.04547619047619,51.742440476190474,56.68910714285715,48.29631578947368,53.64223684210526,58.124802631578945,48.53651315789474,54.47269736842105,59.35756578947369,53.09958333333333,50.86440476190476,66.22059523809523,57.71839285714286,73.00571428571428,52.411071428571425,47.96505952380952,50.34458333333333,59.01815476190476,53.24636904761904,54.48934523809523,52.74598684210527,53.057565789473685,60.26302631578947,47.59302631578947,55.64421052631579,63.713815789473685,51.24159090909091,46.910227272727276,67.73181818181818,65.49454545454546,76.70181818181818,64.78886363636364,45.72568181818182,50.617954545454545,56.53818181818181,49.21136363636364,56.7825,55.50022727272728,48.72772727272727,60.93568181818182,46.85522727272728,54.312045454545455,59.378181818181815,55.530227272727274,50.57704545454545,70.55272727272728,68.97386363636363,81.14068181818182,66.51545454545455,50.01704545454545,55.620000000000005,60.36590909090909,53.337954545454544,62.247727272727275,60.52,52.96181818181819,64.14272727272727,49.467045454545456,60.22318181818182,61.57159090909091
Other,chicago,area_2,610.0,11-01-2018,04/30/2021,6.0,52.135059523809524,52.17392857142857,56.67892857142857,53.93797619047619,59.46154761904762,54.20303571428572,48.82803571428572,51.24928571428571,54.275595238095235,51.12255952380953,53.88636904761905,49.76157894736842,52.36506578947368,56.35776315789473,49.9541447368421,52.926184210526316,56.0978947368421,49.48815476190477,48.229642857142856,65.52065476190475,58.654404761904765,67.82613095238095,50.77386904761905,47.165595238095236,47.120357142857145,52.37809523809524,49.27982142857143,50.04547619047619,51.34171052631579,47.10776315789474,53.317828947368426,47.23828947368421,47.84019736842105,60.62269736842105,44.91227272727272,42.78681818181818,65.86568181818183,58.64818181818182,66.76931818181818,60.68181818181818,48.67250000000001,40.51886363636363,45.69795454545454,42.86272727272728,48.41772727272728,48.092045454545456,40.66090909090909,56.65409090909091,45.35795454545455,42.63590909090909,63.51295454545455,48.940909090909095,46.79590909090909,68.37386363636364,64.625,70.89318181818182,62.38886363636364,54.08045454545454,45.33022727272727,48.940000000000005,47.8359090909091,51.14818181818182,50.86840909090909,45.370681818181815,59.23363636363637,49.13840909090909,47.09840909090909,67.085
Other,chicago,area_1,720.0,03-01-2020,04/30/2021,7.0,50.62202380952381,49.25988095238095,55.61964285714286,53.720238095238095,59.03178571428572,53.53738095238096,52.535833333333336,48.587678571428576,53.062440476190474,49.990297619047624,50.594880952380954,50.12052631578947,48.683157894736844,55.934539473684204,50.04151315789474,49.417631578947365,54.0121052631579,47.56607142857143,44.766309523809525,59.42446428571428,58.3652380952381,63.21380952380952,50.56392857142857,52.4497619047619,46.24386904761905,48.79315476190476,45.46595238095238,49.68827380952381,49.477763157894735,44.86144736842105,55.74361842105264,44.19605263157895,45.705,62.58388157894737,44.43772727272727,38.24272727272727,58.84840909090909,61.68659090909091,67.37659090909091,61.86022727272727,54.97545454545455,44.33409090909091,42.425909090909094,37.81613636363637,56.21840909090909,46.52454545454545,43.69886363636363,56.469545454545454,37.81363636363636,45.95045454545454,71.6740909090909,49.69795454545454,43.58977272727273,62.12022727272727,69.32568181818182,69.51318181818182,66.34886363636363,59.94840909090909,50.20045454545455,47.59090909090909,42.26795454545454,62.377500000000005,52.05068181818182,48.85727272727272,59.85704545454546,42.77136363636364,51.1390909090909,75.2690909090909
Other,chicago,area_1,820.0,02-01-2021,04/30/2021,8.0,56.72089285714286,50.18315476190477,54.211488095238096,57.579166666666666,60.273690476190474,54.485238095238095,54.19244047619048,56.42833333333333,59.02291666666667,55.964285714285715,57.850119047619046,56.19907894736842,55.94263157894737,58.905921052631584,53.865526315789474,57.694736842105264,57.624210526315785,64.23113095238095,51.28767857142857,61.24047619047619,64.63505952380953,72.43309523809523,57.698571428571434,56.87291666666666,64.39494047619048,69.00880952380952,65.2460119047619,65.30125000000001,63.51407894736842,65.31875000000001,69.84480263157894,60.778289473684204,66.19611842105263,75.40868421052632,69.28022727272727,52.89431818181818,61.45795454545455,67.09840909090909,79.78681818181818,72.71272727272728,63.88863636363636,67.20204545454546,74.22795454545455,70.08477272727272,72.84886363636363,66.84795454545454,71.32204545454546,76.96340909090908,63.685227272727275,71.75977272727272,82.0906818181818,72.86931818181819,55.23136363636363,64.51181818181819,71.83318181818181,82.52886363636364,77.83704545454545,69.62636363636364,72.13295454545454,76.8884090909091,73.32772727272727,76.11,69.31977272727273,75.00522727272727,78.64272727272727,67.10068181818181,75.4615909090909,84.73545454545454
Other,chicago,area_1,930.0,10-01-2018,04/30/2021,9.0,53.587083333333325,53.76839285714286,53.88529761904762,52.151130952380946,55.88291666666667,53.13684523809523,55.18845238095238,51.97636904761905,56.11261904761905,52.96190476190476,54.49869047619048,52.114342105263155,52.39875,60.187039473684216,53.172302631578944,52.402434210526316,58.69927631578947,60.29767857142857,49.41363095238095,62.1579761904762,61.05202380952381,66.95273809523809,54.255654761904765,54.34452380952381,59.5575,65.66095238095238,60.00952380952381,61.556607142857146,62.94039473684211,60.325394736842114,60.165197368421055,58.57223684210526,61.27677631578947,66.23539473684211,62.33113636363637,50.35863636363637,61.261590909090906,61.47977272727273,72.14477272727272,60.64636363636364,50.06159090909091,63.20613636363637,69.98772727272727,63.14772727272727,64.38636363636364,65.36431818181819,62.79818181818182,62.86840909090909,58.86409090909091,64.53977272727273,69.81386363636364,68.105,54.251590909090915,64.46454545454546,68.59545454545454,77.23454545454545,66.12454545454545,58.346363636363634,70.0909090909091,73.86977272727273,68.53068181818182,70.6125,68.90772727272727,68.3025,68.21409090909091,64.39704545454545,70.56772727272727,73.70636363636363
Other,chicago,area_4,1020.0,06-01-2018,04/30/2021,10.0,50.478095238095236,48.72755952380952,57.56529761904761,49.00916666666667,58.16428571428572,53.4052380952381,48.29517857142857,50.859940476190474,53.12886904761905,48.51797619047619,53.75333333333333,49.38282894736842,49.43157894736842,56.46157894736842,50.087105263157895,50.25657894736842,54.38796052631579,52.54833333333334,44.05083333333333,65.7514880952381,55.028333333333336,58.365357142857135,50.26625,49.10005952380952,53.0689880952381,56.254107142857144,51.75833333333333,54.45684523809524,54.437960526315784,48.86394736842105,56.72296052631579,50.78118421052631,51.81190789473684,60.11973684210527,51.247499999999995,39.85363636363636,63.53795454545455,55.175,53.00863636363636,62.80477272727273,46.80386363636364,50.29863636363636,56.49795454545454,48.39931818181819,55.81340909090909,57.56454545454546,46.89295454545454,57.12022727272727,46.73954545454546,52.400454545454544,55.19886363636363,55.60522727272728,42.82181818181818,67.53727272727272,59.158863636363634,57.58704545454545,62.50113636363637,53.28840909090909,56.70636363636363,58.617045454545455,52.29477272727272,61.45022727272727,61.283863636363634,51.79386363636363,59.438181818181825,51.147499999999994,56.291818181818186,60.45954545454545
